MSSubClass,MSZoning,LotFrontage,LotArea,Alley,LotShape,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscVal,SaleType,SaleCondition,SalePrice,SalePriceLog,ExteriorMat,HouseFin,ExteriorStyle
20,RL,70.0,8400,NA,Reg,Inside,NAmes,Norm,1Fam,1.0Story,5,6,1957,1957,Gable,None,0.0,TA,Gd,CBlock,TA,TA,No,Rec,Unf,1314,TA,Y,SBrkr,1314,0,0,1314,1,0,1,0,3,1,TA,5,Typ,0,NA,Attchd,RFn,1,294,Y,250,0,0,0,0,0,NA,0,WD,Normal,145000,11.884489021402711,MetalSd,Finished,Siding
60,RL,66.0,8738,NA,IR,Inside,Gilbert,Norm,1Fam,2.0Story,7,5,1999,1999,Gable,BrkFace,302.0,Gd,Gd,PConc,Gd,TA,No,Unf,Unf,975,Ex,Y,SBrkr,1005,1286,0,2291,0,0,2,1,4,1,Gd,8,Typ,1,TA,Attchd,Fin,2,429,Y,192,0,0,0,0,0,NA,0,WD,Normal,230000,12.345834587905333,VinylSd,Finished,Siding
60,FV,64.0,8791,NA,IR,Inside,Somerst,Norm,1Fam,2.0Story,6,5,2003,2003,Gable,None,0.0,Gd,Gd,PConc,Gd,TA,No,Rec,Unf,864,Ex,Y,SBrkr,864,864,0,1728,0,0,2,1,3,1,Gd,7,Typ,0,NA,Attchd,RFn,2,673,Y,216,56,0,0,0,0,NA,0,WD,Normal,207500,12.24288661865289,VinylSd,Finished,Siding
20,RL,68.0,8814,NA,Reg,Inside,CollgCr,Norm,1Fam,1.0Story,7,5,2006,2006,Gable,Stone,180.0,Gd,Gd,PConc,Gd,TA,No,GLQ,Unf,1604,Ex,Y,SBrkr,1604,0,0,1604,1,0,2,1,3,1,Gd,8,Typ,1,Gd,Attchd,RFn,2,660,Y,123,110,0,0,0,0,NA,0,WD,Abnorml,220000,12.301382825334498,VinylSd,Finished,Siding
60,RL,80.0,12435,NA,Reg,Inside,CollgCr,Norm,1Fam,2.0Story,7,5,2001,2001,Gable,BrkFace,172.0,Gd,Gd,PConc,Gd,TA,No,GLQ,Unf,963,Ex,Y,SBrkr,963,829,0,1792,0,0,2,1,3,1,Gd,7,Typ,1,TA,Attchd,RFn,2,564,Y,0,96,0,245,0,0,NA,0,WD,Normal,231500,12.352335152508426,VinylSd,Finished,Siding
20,RM,70.0,12702,NA,Reg,Inside,OldTown,Norm,1Fam,1.0Story,5,5,1956,1956,Gable,None,0.0,TA,Gd,PConc,NA,NA,No,NA,NA,0,Gd,Y,Fuse,882,0,0,882,0,0,1,0,2,1,TA,4,Typ,0,NA,Detchd,Unf,1,308,Y,0,45,0,0,0,0,NA,0,WD,Normal,97000,11.48246625748552,Other,Finished,Other
80,RL,120.0,19296,NA,Reg,Corner,NAmes,Artery,1Fam,SLvl,6,5,1962,1962,Gable,BrkFace,399.0,TA,Gd,CBlock,TA,TA,Gd,Rec,ALQ,1362,TA,Y,SBrkr,1382,0,0,1382,1,0,1,0,3,1,TA,6,Typ,1,TA,Attchd,Unf,2,884,Y,0,0,252,0,0,0,Fence,0,WD,Normal,176000,12.078239274020289,Wood,Finished,Siding
60,RL,69.0,9588,NA,IR,Inside,CollgCr,Norm,1Fam,2.0Story,8,5,2007,2007,Gable,Stone,270.0,Gd,Gd,PConc,Ex,TA,No,Unf,Unf,1482,Ex,Y,SBrkr,1482,1092,0,2574,0,0,2,1,3,1,Ex,10,Typ,1,Gd,Attchd,Fin,3,868,Y,0,148,0,0,0,0,NA,0,Oth,Partial,276000,12.528156144699286,Other,Finished,Other
80,RL,88.0,8471,NA,IR,Corner,Sawyer,Norm,1Fam,SLvl,6,7,1977,1995,Gable,BrkFace,46.0,TA,Gd,CBlock,Gd,Gd,Av,ALQ,Unf,506,TA,Y,SBrkr,1212,0,0,1212,1,0,1,0,3,1,TA,6,Typ,1,TA,Attchd,Unf,2,492,Y,292,12,0,0,0,0,Fence,0,WD,Normal,151000,11.925035115797062,Plywood,Finished,Other
50,RM,50.0,5500,NA,Reg,Corner,OldTown,Norm,1Fam,1.5Story,5,7,1929,2001,Gable,None,0.0,TA,Gd,BrkTil,TA,TA,No,LwQ,ALQ,926,TA,Y,SBrkr,926,0,390,1316,1,0,1,0,3,1,TA,6,Typ,0,NA,Detchd,Unf,2,484,Y,0,0,0,0,0,0,NA,0,WD,Normal,130000,11.77528972943772,Wood,Finished,Siding
30,RM,30.0,5232,Grvl,IR,Inside,OldTown,Artery,1Fam,1.0Story,5,5,1925,2004,Gable,None,0.0,TA,Gd,BrkTil,Fa,TA,No,Unf,Unf,680,Gd,N,Fuse,764,0,0,764,0,0,1,0,2,1,TA,4,Typ,0,NA,Detchd,Unf,2,504,N,0,0,0,0,0,0,NA,0,WD,Normal,73000,11.198214720130528,Wood,Finished,Siding
20,RL,78.0,12090,NA,IR,Inside,NWAmes,Norm,1Fam,1.0Story,6,6,1981,1981,Gable,BrkFace,210.0,TA,Gd,CBlock,Gd,TA,No,GLQ,LwQ,1422,TA,Y,SBrkr,1422,0,0,1422,0,0,2,0,3,1,Gd,7,Typ,1,TA,Attchd,Fin,2,576,Y,276,0,0,0,0,0,Fence,0,WD,Normal,175500,12.075394321888057,MetalSd,Finished,Siding
60,RL,70.0,11207,NA,IR,FR2,Gilbert,Norm,1Fam,2.0Story,6,5,1997,1997,Gable,None,0.0,TA,Gd,PConc,Gd,TA,Av,GLQ,Unf,802,Gd,Y,SBrkr,802,709,0,1511,1,0,2,1,3,1,TA,8,Typ,1,TA,Attchd,Fin,2,413,Y,95,75,0,0,0,0,NA,0,WD,Normal,185000,12.128111104060462,VinylSd,Finished,Siding
75,RL,60.0,8400,NA,Reg,Inside,SWISU,Norm,1Fam,2.5Story,5,8,1939,1997,Gable,None,0.0,TA,Gd,PConc,TA,TA,No,LwQ,Unf,720,Ex,Y,SBrkr,1052,720,420,2192,0,0,2,1,4,1,Gd,8,Typ,1,Gd,Detchd,Unf,1,240,Y,262,24,0,0,0,0,NA,0,WD,Normal,179500,12.097930486910471,Wood,Finished,Siding
30,RM,71.0,6900,NA,Reg,Inside,IDOTRR,Norm,1Fam,1.0Story,5,6,1940,1955,Gable,None,0.0,TA,Gd,CBlock,TA,TA,No,ALQ,Rec,740,Ex,Y,SBrkr,778,0,0,778,0,0,1,0,2,1,TA,4,Typ,1,Gd,Detchd,Fin,1,924,Y,0,25,0,0,0,0,NA,0,WD,Normal,120500,11.699405031912846,VinylSd,Finished,Siding
20,RL,70.05,7917,NA,IR,Corner,Edwards,Norm,1Fam,1.0Story,6,7,1976,1976,Hip,BrkFace,174.0,TA,Gd,CBlock,TA,Gd,No,BLQ,Unf,1143,TA,Y,SBrkr,1113,0,0,1113,1,0,1,1,3,1,TA,6,Typ,1,Po,Attchd,RFn,1,504,Y,370,30,0,0,0,0,Fence,0,WD,Normal,148000,11.904967552746252,HdBoard,Finished,Other
60,FV,84.0,10728,NA,Reg,Inside,Somerst,Norm,1Fam,2.0Story,8,5,2006,2006,Gable,None,0.0,Gd,Gd,PConc,Gd,TA,Mn,Unf,Unf,1095,Gd,Y,SBrkr,1095,844,0,1939,0,0,2,1,3,1,Gd,8,Typ,1,Gd,Attchd,RFn,3,1053,Y,192,51,0,0,0,0,NA,0,Oth,Partial,266000,12.491251587763836,VinylSd,Finished,Siding
20,RL,73.0,39104,NA,IR,CulDSac,ClearCr,Norm,1Fam,1.0Story,7,7,1954,2005,Oth,None,0.0,TA,Gd,CBlock,Gd,TA,Gd,LwQ,GLQ,1385,Ex,Y,SBrkr,1363,0,0,1363,1,0,1,0,2,1,TA,5,Atype,2,TA,Attchd,Unf,2,439,Y,81,0,0,0,0,0,NA,0,WD,Normal,241500,12.394624752074764,Plywood,Finished,Other
60,RL,92.0,11764,NA,IR,CulDSac,NoRidge,Norm,1Fam,2.0Story,8,7,1999,2007,Gable,BrkFace,348.0,Gd,Gd,PConc,Gd,TA,No,GLQ,Unf,1152,Ex,Y,SBrkr,1164,1106,0,2270,0,0,2,1,4,1,Gd,9,Typ,1,Gd,Attchd,Fin,3,671,Y,132,57,0,0,0,0,NA,0,WD,Normal,290000,12.577636201962656,VinylSd,Finished,Siding
20,RL,80.0,9600,NA,Reg,Inside,NAmes,Feedr,1Fam,1.0Story,6,6,1958,1988,Hip,BrkCmn,183.0,TA,Gd,CBlock,TA,TA,No,Rec,LwQ,1240,Gd,Y,SBrkr,1632,0,0,1632,1,0,2,0,3,1,TA,6,Atype,1,Gd,Attchd,RFn,1,338,Y,289,0,0,0,0,0,Fence,0,WD,Normal,139000,11.842229212112828,Wood,Finished,Siding
20,RL,76.0,8314,NA,Reg,Corner,Mitchel,Norm,1Fam,1.0Story,5,7,1982,1982,Gable,None,0.0,TA,Gd,CBlock,TA,TA,Gd,ALQ,Unf,816,TA,Y,SBrkr,816,0,0,816,0,0,1,0,2,1,TA,5,Typ,0,NA,Attchd,Unf,1,264,Y,168,0,0,0,0,0,NA,0,WD,Normal,124500,11.732060994886899,Stucco,Finished,Other
50,RL,55.0,7264,NA,Reg,Inside,BrkSide,Norm,1Fam,1.5Story,7,7,1925,2007,Gable,None,0.0,Gd,Gd,BrkTil,TA,TA,No,Unf,Unf,952,Gd,N,SBrkr,952,596,0,1548,0,0,2,1,3,1,Ex,5,Typ,0,NA,Detchd,Unf,2,672,Y,74,0,0,0,144,0,NA,0,WD,Normal,205000,12.230765258120545,Wood,Finished,Siding
20,RL,129.0,9196,NA,IR,Inside,Mitchel,Norm,1Fam,1.0Story,7,5,2003,2003,Gable,None,0.0,Gd,Gd,PConc,Ex,TA,No,Unf,Unf,1560,Ex,Y,SBrkr,1560,0,0,1560,0,0,2,0,3,1,Gd,7,Typ,0,NA,Attchd,Fin,2,573,Y,100,150,0,0,0,0,NA,0,WD,Normal,201000,12.211060187041213,VinylSd,Finished,Siding
20,RL,140.0,19138,NA,Reg,Corner,Gilbert,Norm,1Fam,1.0Story,4,5,1951,1951,Gable,None,0.0,TA,Gd,CBlock,TA,TA,No,LwQ,Unf,864,Ex,Y,SBrkr,864,0,0,864,0,0,1,0,2,1,TA,4,Typ,0,NA,Detchd,Unf,2,400,Y,0,0,0,0,0,0,NA,0,WD,Normal,141000,11.856515169360305,VinylSd,Finished,Siding
20,RL,107.0,14450,NA,Reg,Inside,NridgHt,Norm,1Fam,1.0Story,9,5,2006,2007,Gable,BrkFace,315.0,Ex,Gd,PConc,Ex,TA,Gd,Unf,Unf,2121,Ex,Y,SBrkr,2121,0,0,2121,0,0,2,1,3,1,Ex,8,Typ,1,Gd,Attchd,Fin,3,732,Y,124,98,0,0,142,0,NA,0,Oth,Partial,415298,12.936751613811438,Other,Finished,Other
60,RL,83.0,10005,NA,Reg,Inside,ClearCr,Norm,1Fam,2.0Story,7,5,1977,1977,Hip,BrkFace,299.0,TA,Gd,CBlock,Gd,TA,No,BLQ,Unf,1160,Ex,Y,SBrkr,1156,866,0,2022,0,0,2,1,4,1,TA,8,Typ,1,TA,Attchd,Fin,2,505,Y,288,117,0,0,0,0,NA,0,WD,Normal,192000,12.165250651009918,Plywood,Finished,Other
60,RL,82.0,11287,NA,Reg,Inside,SawyerW,Norm,1Fam,2.0Story,7,6,1989,1989,Gable,BrkFace,340.0,Gd,Gd,CBlock,Gd,TA,Av,GLQ,Unf,807,Gd,Y,SBrkr,1175,807,0,1982,0,0,2,1,3,1,Gd,7,Typ,1,TA,Attchd,Fin,2,575,Y,0,84,0,196,0,0,NA,0,WD,Normal,228500,12.339291489316397,Plywood,Finished,Other
20,FV,60.0,7200,Pave,Reg,Inside,Somerst,Norm,1Fam,1.0Story,6,5,2006,2006,Gable,Stone,68.0,Gd,Gd,PConc,Gd,TA,No,GLQ,Unf,1262,Gd,Y,SBrkr,1262,0,0,1262,0,0,2,0,2,1,Gd,5,Typ,0,NA,Attchd,Fin,2,572,Y,0,120,0,0,0,0,NA,0,Oth,Partial,185000,12.128111104060462,VinylSd,Finished,Siding
120,RL,34.0,5063,NA,Reg,Inside,NridgHt,Norm,Twnhs,1.0Story,7,5,2007,2008,Gable,Stone,166.0,Gd,Gd,PConc,Gd,TA,No,GLQ,Unf,1314,Ex,Y,SBrkr,1314,0,0,1314,1,0,2,0,2,1,Gd,6,Typ,1,Gd,Attchd,RFn,2,626,Y,172,62,0,0,0,0,NA,0,Oth,Normal,207500,12.24288661865289,VinylSd,Finished,Siding
20,RL,74.0,9612,NA,Reg,Inside,Somerst,Feedr,1Fam,1.0Story,8,5,2008,2009,Gable,Stone,72.0,Gd,Gd,PConc,Gd,TA,No,Unf,Unf,1468,Ex,Y,SBrkr,1468,0,0,1468,0,0,2,0,3,1,Gd,6,Typ,1,Gd,Attchd,Fin,3,898,Y,210,150,0,0,0,0,NA,0,Oth,Partial,244600,12.407379502235209,VinylSd,Finished,Siding
120,RL,50.0,8012,NA,Reg,Inside,SawyerW,Norm,Twnhs,1.0Story,6,5,1992,1992,Gable,None,0.0,Gd,Gd,PConc,Gd,TA,No,GLQ,Unf,1575,Gd,Y,SBrkr,1575,0,0,1575,1,0,2,0,2,1,Gd,5,Typ,0,NA,Attchd,RFn,2,529,Y,0,0,52,0,0,0,NA,0,WD,Normal,179200,12.096257779522967,Stucco,Finished,Other
160,FV,35.0,4251,Pave,IR,Inside,Somerst,Norm,Twnhs,2.0Story,7,5,2006,2007,Gable,None,0.0,Gd,Gd,PConc,Gd,TA,No,Unf,Unf,625,Ex,Y,SBrkr,625,625,0,1250,0,0,2,1,2,1,Gd,5,Typ,0,NA,Detchd,RFn,2,528,Y,0,54,0,0,0,0,NA,0,Oth,Partial,164700,12.011880916165731,MetalSd,Finished,Siding
50,RL,77.0,9786,NA,IR,Inside,NAmes,Norm,1Fam,1.5Story,6,7,1962,1981,Gable,None,0.0,TA,Gd,CBlock,TA,TA,No,Rec,Unf,912,TA,Y,SBrkr,1085,649,0,1734,0,0,1,1,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,2,440,Y,0,0,0,0,128,0,Fence,0,WD,Normal,159000,11.976659481202368,Wood,Finished,Siding
20,RL,70.05,8125,NA,IR,Corner,NAmes,Norm,1Fam,1.0Story,4,4,1971,1971,Gable,None,0.0,TA,Gd,CBlock,TA,TA,No,BLQ,Unf,858,TA,Y,SBrkr,858,0,0,858,0,0,1,0,3,1,TA,5,Typ,0,NA,NA,NA,0,0,Y,0,0,0,0,0,0,NA,0,WD,Normal,88000,11.385092093460344,HdBoard,Finished,Other
20,RL,70.05,9819,NA,IR,Inside,Sawyer,Norm,1Fam,1.0Story,5,5,1967,1967,Gable,BrkFace,31.0,TA,Gd,CBlock,TA,TA,No,BLQ,Unf,882,TA,Y,SBrkr,900,0,0,900,0,0,1,0,3,1,TA,5,Typ,0,NA,Detchd,Unf,1,280,Y,0,0,0,0,0,0,Fence,0,WD,Normal,122000,11.711776323715394,MetalSd,Finished,Siding
70,RL,60.0,8730,NA,Reg,Inside,BrkSide,NRR,1Fam,2.0Story,6,7,1915,2003,Gable,None,0.0,TA,Gd,BrkTil,TA,TA,No,Unf,Unf,698,Ex,Y,Fuse,698,698,0,1396,0,0,1,0,3,1,TA,7,Typ,0,NA,Detchd,Unf,1,384,Y,0,0,0,0,259,0,NA,0,WD,Normal,153575,11.941944326032129,Wood,Finished,Siding
60,RL,120.0,15611,NA,Reg,Inside,CollgCr,Norm,1Fam,2.0Story,8,5,2006,2006,Gable,None,0.0,Gd,Gd,PConc,Gd,TA,Av,Unf,Unf,1079,Ex,Y,SBrkr,1079,840,0,1919,0,0,2,1,3,1,Gd,8,Typ,1,Gd,Attchd,RFn,2,685,Y,0,51,0,0,0,0,NA,0,Oth,Partial,233230,12.359780370124389,VinylSd,Finished,Siding
190,RL,55.0,5687,Grvl,Reg,Inside,SWISU,Norm,Oth,2.0Story,5,6,1912,2000,Gable,None,0.0,TA,Fa,PConc,TA,Fa,No,Rec,Unf,780,Ex,N,SBrkr,936,780,0,1716,1,0,2,0,6,1,Fa,9,Typ,0,NA,NA,NA,0,0,N,0,184,0,0,0,0,NA,0,WD,Normal,135900,11.819674600139235,VinylSd,Finished,Siding
50,RL,60.0,11409,NA,Reg,Inside,Edwards,Norm,1Fam,1.5Story,5,4,1949,2008,Gable,None,0.0,TA,Gd,CBlock,TA,TA,No,LwQ,Unf,768,Gd,Y,SBrkr,1148,568,0,1716,0,0,1,1,3,1,TA,8,Atype,1,Gd,Attchd,Unf,1,281,Y,0,0,0,0,160,0,NA,0,WD,Normal,131000,11.782952602183288,Wood,Finished,Siding
60,RL,70.05,16659,NA,IR,Corner,NWAmes,Pos,1Fam,2.0Story,7,7,1977,1994,Gable,BrkFace,34.0,TA,Gd,CBlock,TA,TA,No,ALQ,Unf,795,Fa,Y,SBrkr,1468,795,0,2263,1,0,2,1,3,1,Gd,9,Typ,1,TA,Attchd,Fin,2,539,Y,0,250,0,0,0,0,NA,0,WD,Normal,235000,12.367340793126296,Plywood,Finished,Other
20,RL,80.0,9600,NA,Reg,Inside,NAmes,Norm,1Fam,1.0Story,6,5,1953,1953,Hip,Stone,238.0,TA,Gd,CBlock,TA,TA,No,GLQ,Unf,1416,TA,Y,SBrkr,1644,0,0,1644,1,0,1,0,3,1,TA,7,Typ,2,Gd,Attchd,Fin,2,418,Y,110,0,0,0,0,0,NA,0,WD,Normal,167000,12.025749091398891,HdBoard,Finished,Other
80,RL,37.0,7937,NA,IR,CulDSac,Mitchel,Norm,1Fam,SLvl,6,6,1984,1984,Gable,None,0.0,TA,Gd,CBlock,TA,TA,Av,GLQ,Unf,1003,TA,Y,SBrkr,1003,0,0,1003,1,0,1,0,3,1,TA,6,Typ,0,NA,Detchd,Unf,2,588,Y,120,0,0,0,0,0,Fence,0,WD,Normal,142500,11.867097278690842,HdBoard,Finished,Other
50,RM,75.0,13710,NA,Reg,Inside,IDOTRR,Norm,1Fam,1.5Story,5,5,1950,1950,Gable,None,0.0,TA,Gd,CBlock,TA,TA,No,BLQ,Unf,910,TA,Y,Fuse,910,648,0,1558,0,0,1,1,4,1,TA,6,Typ,0,NA,Attchd,Unf,1,282,Y,289,0,0,0,0,0,Fence,0,WD,Normal,152000,11.931635799828413,Wood,Finished,Siding
60,FV,66.0,7399,Pave,IR,Inside,Somerst,Norm,1Fam,2.0Story,7,5,1997,1998,Hip,BrkFace,1600.0,Gd,Gd,PConc,Gd,TA,No,BLQ,Unf,975,Ex,Y,SBrkr,975,975,0,1950,0,0,2,1,3,1,Gd,7,Typ,1,TA,Detchd,RFn,2,576,Y,0,10,0,0,198,0,NA,0,WD,Normal,239000,12.384218830913648,VinylSd,Finished,Siding
60,RL,90.0,11700,NA,Reg,Inside,NWAmes,Norm,1Fam,2.0Story,6,6,1968,1968,Oth,BrkFace,365.0,Gd,Gd,CBlock,TA,TA,No,ALQ,Rec,702,Gd,Y,SBrkr,1041,702,0,1743,0,1,1,2,3,1,TA,7,Typ,1,Gd,Attchd,Unf,2,539,Y,224,0,0,0,0,0,NA,0,WD,Normal,175000,12.072541252905651,Other,Finished,Shingle
20,RL,80.0,14000,NA,Reg,Inside,Crawfor,Norm,1Fam,1.0Story,6,8,1950,2004,Gable,None,0.0,TA,Gd,CBlock,TA,TA,No,Unf,Unf,1092,Ex,Y,SBrkr,1152,0,0,1152,0,1,1,0,3,1,Gd,6,Typ,1,Gd,Attchd,Unf,1,300,Y,0,36,0,0,0,0,Fence,0,WD,Abnorml,158500,11.973509872299472,HdBoard,Finished,Other
190,RL,90.0,15750,NA,Reg,Corner,Crawfor,Norm,Oth,1.0Story,5,5,1953,1953,Hip,BrkFace,56.0,TA,Gd,CBlock,TA,TA,Mn,BLQ,Unf,1165,TA,Y,SBrkr,1336,0,0,1336,1,0,1,0,2,1,TA,5,Typ,2,Gd,Attchd,Unf,1,375,Y,0,0,0,0,0,0,NA,0,WD,Normal,157000,11.964001084330445,MetalSd,Finished,Siding
60,RL,66.0,16226,NA,IR,Inside,CollgCr,Norm,1Fam,2.0Story,8,5,1998,1999,Gable,None,0.0,Gd,Gd,PConc,Gd,TA,No,GLQ,Unf,1028,Ex,Y,SBrkr,1210,1242,0,2452,0,0,2,1,4,1,Gd,9,Typ,1,TA,Attchd,Fin,2,683,Y,208,50,0,0,0,0,NA,0,WD,Normal,267000,12.495003937382387,VinylSd,Finished,Siding
20,RL,118.0,13704,NA,IR,Corner,CollgCr,Norm,1Fam,1.0Story,7,5,2001,2002,Gable,BrkFace,150.0,Gd,Gd,PConc,Gd,TA,No,Unf,Unf,1541,Ex,Y,SBrkr,1541,0,0,1541,0,0,2,0,3,1,Gd,6,Typ,1,TA,Attchd,RFn,3,843,Y,468,81,0,0,0,0,NA,0,WD,Normal,205000,12.230765258120545,VinylSd,Finished,Siding
20,RL,70.0,9800,NA,Reg,Corner,CollgCr,Norm,1Fam,1.0Story,5,7,1972,1972,Gable,None,0.0,TA,Gd,PConc,TA,TA,No,ALQ,Unf,894,TA,Y,SBrkr,894,0,0,894,1,0,1,0,3,1,TA,5,Typ,0,NA,Attchd,Unf,2,552,Y,256,0,0,0,0,0,Fence,0,WD,Abnorml,149900,11.917723684090689,VinylSd,Finished,Siding
75,RM,87.0,18386,NA,Reg,Inside,OldTown,Norm,1Fam,2.5Story,7,9,1880,2002,Gable,None,0.0,TA,Gd,BrkTil,TA,TA,No,Unf,Unf,1470,Ex,Y,SBrkr,1675,1818,0,3493,0,0,3,0,3,1,Gd,10,Typ,1,Gd,Attchd,Unf,3,870,Y,302,0,0,0,0,0,NA,0,WD,Normal,295000,12.594730635321957,Other,Finished,Other
20,RL,80.0,10386,NA,Reg,Inside,CollgCr,Norm,1Fam,1.0Story,8,5,2004,2005,Gable,Stone,246.0,Gd,Gd,PConc,Gd,TA,No,GLQ,Unf,2000,Ex,Y,SBrkr,2000,0,0,2000,1,0,2,0,3,1,Gd,8,Typ,0,NA,Attchd,Fin,3,888,Y,168,0,0,0,0,0,NA,0,WD,Normal,305900,12.631013530138995,Other,Finished,Other
60,RL,116.0,13474,NA,Reg,Inside,SawyerW,Feedr,1Fam,2.0Story,7,5,1990,1991,Gable,BrkFace,246.0,Gd,Gd,CBlock,Gd,TA,No,ALQ,Unf,700,Gd,Y,SBrkr,1122,1121,0,2243,1,0,2,1,4,1,Gd,8,Typ,1,TA,Attchd,RFn,3,746,Y,127,44,224,0,0,0,NA,0,WD,Normal,225000,12.323855681186558,Plywood,Finished,Other
50,RM,70.05,7920,Grvl,IR,Inside,IDOTRR,Artery,1Fam,1.5Story,6,7,1920,1950,Gable,None,0.0,TA,Fa,CBlock,TA,TA,No,Unf,Unf,319,TA,Y,Fuse,1035,371,0,1406,0,0,1,0,3,1,Fa,6,Typ,0,NA,NA,NA,0,0,N,0,144,0,0,0,0,Fence,0,WD,Normal,89500,11.401993904262946,MetalSd,Finished,Siding
30,RL,70.05,12342,NA,IR,Inside,Edwards,Norm,1Fam,1.0Story,4,5,1940,1950,Gable,None,0.0,TA,Gd,CBlock,TA,TA,No,BLQ,Unf,861,Ex,Y,SBrkr,861,0,0,861,0,0,1,0,1,1,TA,4,Typ,0,NA,Detchd,Unf,2,539,Y,158,0,0,0,0,0,NA,0,WD,Normal,82500,11.320553572322773,VinylSd,Finished,Siding
20,RL,90.0,12378,NA,IR,Inside,NridgHt,Norm,1Fam,1.0Story,9,5,2003,2004,Gable,None,0.0,Gd,Gd,PConc,Ex,TA,Gd,GLQ,Unf,1896,Ex,Y,SBrkr,1944,0,0,1944,1,0,2,0,3,1,Ex,8,Typ,3,Gd,Attchd,Fin,3,708,Y,208,175,0,0,0,0,NA,0,WD,Normal,360000,12.793859310432293,VinylSd,Finished,Siding
60,RL,70.05,7685,NA,IR,Inside,Gilbert,Norm,1Fam,2.0Story,6,5,1993,1994,Gable,BrkFace,112.0,TA,Gd,PConc,Gd,TA,No,ALQ,Unf,697,Gd,Y,SBrkr,697,804,0,1501,0,0,2,1,3,1,Gd,6,Typ,1,TA,Attchd,Fin,2,420,Y,190,63,0,0,0,0,NA,0,WD,Normal,165600,12.017330520933296,HdBoard,Finished,Other
20,RL,50.0,8000,NA,Reg,Inside,NAmes,Norm,1Fam,1.0Story,6,6,1948,2002,Gable,None,0.0,TA,Gd,CBlock,TA,TA,No,ALQ,Unf,972,Ex,Y,SBrkr,972,0,0,972,1,0,1,0,2,1,TA,5,Typ,1,Gd,Detchd,Unf,1,240,Y,0,0,0,0,0,0,NA,0,WD,Normal,132000,11.790557201568507,VinylSd,Finished,Siding
190,RM,65.0,7800,NA,Reg,Inside,OldTown,Artery,Oth,1.5Story,5,7,1939,1950,Gable,None,0.0,TA,Gd,CBlock,Gd,TA,Mn,Rec,Unf,793,TA,Y,SBrkr,793,325,0,1118,1,0,1,0,3,1,TA,5,Typ,1,Gd,Detchd,Unf,2,410,Y,0,0,0,0,271,0,Fence,0,WD,Normal,119900,11.694413341015606,MetalSd,Finished,Siding
20,RL,150.0,215245,NA,IR,Inside,Timber,Norm,1Fam,1.0Story,7,5,1965,1965,Hip,None,0.0,TA,Gd,CBlock,Gd,TA,Gd,ALQ,Rec,2136,TA,Y,SBrkr,2036,0,0,2036,2,0,2,0,3,1,TA,8,Typ,2,Gd,Attchd,RFn,2,513,Y,0,0,0,0,0,0,NA,0,WD,Normal,375000,12.834681304952548,Other,Finished,Other
70,RM,60.0,9600,Grvl,Reg,Inside,OldTown,Norm,1Fam,2.0Story,7,7,1925,1990,Gable,None,0.0,TA,Gd,BrkTil,TA,Gd,No,LwQ,Unf,728,Ex,Y,SBrkr,832,809,0,1641,0,1,1,1,3,1,Ex,6,Typ,1,Gd,Detchd,Unf,2,546,Y,0,0,234,0,0,0,NA,0,WD,Normal,178000,12.089538829274222,Wood,Finished,Siding
60,RL,71.0,7795,NA,IR,Inside,Gilbert,Norm,1Fam,2.0Story,7,5,2004,2005,Gable,None,0.0,Gd,Gd,PConc,Gd,TA,No,GLQ,Unf,716,Ex,Y,SBrkr,716,716,0,1432,1,0,2,1,3,1,Gd,6,Typ,1,Gd,Attchd,Fin,2,432,Y,100,51,0,0,0,0,NA,0,WD,Normal,188500,12.146853285870202,VinylSd,Finished,Siding
60,RL,94.0,13005,NA,IR,Corner,NWAmes,Norm,1Fam,2.0Story,7,7,1980,1980,Gable,BrkFace,278.0,Gd,Gd,CBlock,Gd,TA,No,GLQ,Unf,845,TA,Y,SBrkr,1153,1200,0,2353,1,0,2,1,4,1,Ex,10,Typ,1,TA,Attchd,RFn,2,484,Y,288,195,0,0,0,0,Fence,0,WD,Normal,260000,12.468436909997665,Other,Finished,Other
60,FV,75.0,9000,NA,Reg,Inside,Somerst,Norm,1Fam,2.0Story,8,5,2006,2006,Gable,None,0.0,Gd,Gd,PConc,Gd,TA,Av,Unf,Unf,1088,Ex,Y,SBrkr,1088,871,0,1959,0,0,2,1,3,1,Gd,8,Typ,1,Gd,Attchd,RFn,3,1025,Y,208,46,0,0,0,0,NA,0,WD,Normal,270000,12.506177237980511,VinylSd,Finished,Siding
